InstallOrder,ForeignTable,ForeignColumn,LookupTable,LookupColumn,Cardinality,CrossFilter,Active,Required
10,fact_ContactClosed,BusinessDate,dim_Date,Date,ManyToOne,Single,TRUE,TRUE
11,fact_ContactLive,BusinessDate,dim_Date,Date,ManyToOne,Single,TRUE,TRUE
12,fact_ContactClosed,IntervalKey,dim_Interval,IntervalKey,ManyToOne,Single,TRUE,TRUE
13,fact_ContactLive,IntervalKey,dim_Interval,IntervalKey,ManyToOne,Single,TRUE,TRUE
14,fact_ContactClosed,ActivityKey,dim_Activity,ActivityKey,ManyToOne,Single,TRUE,TRUE
15,fact_ContactLive,ActivityKey,dim_Activity,ActivityKey,ManyToOne,Single,TRUE,TRUE
16,fact_ContactClosed,QueueKey,dim_Queue,QueueKey,ManyToOne,Single,TRUE,TRUE
17,fact_ContactLive,QueueKey,dim_Queue,QueueKey,ManyToOne,Single,TRUE,TRUE
18,fact_ContactClosed,ChannelKey,dim_Channel,ChannelKey,ManyToOne,Single,TRUE,TRUE
19,fact_ContactLive,ChannelKey,dim_Channel,ChannelKey,ManyToOne,Single,TRUE,TRUE
20,fact_OperationalIntervalClosed,BusinessDate,dim_Date,Date,ManyToOne,Single,TRUE,TRUE
21,fact_OperationalIntervalLive,BusinessDate,dim_Date,Date,ManyToOne,Single,TRUE,TRUE
22,fact_OperationalIntervalClosed,IntervalKey,dim_Interval,IntervalKey,ManyToOne,Single,TRUE,TRUE
23,fact_OperationalIntervalLive,IntervalKey,dim_Interval,IntervalKey,ManyToOne,Single,TRUE,TRUE
24,fact_OperationalIntervalClosed,ActivityKey,dim_Activity,ActivityKey,ManyToOne,Single,TRUE,TRUE
25,fact_OperationalIntervalLive,ActivityKey,dim_Activity,ActivityKey,ManyToOne,Single,TRUE,TRUE
26,fact_OperationalIntervalClosed,AgentKey,dim_Agent,AgentKey,ManyToOne,Single,TRUE,TRUE
27,fact_OperationalIntervalLive,AgentKey,dim_Agent,AgentKey,ManyToOne,Single,TRUE,TRUE
30,fact_StaffingRequirementClosed,BusinessDate,dim_Date,Date,ManyToOne,Single,TRUE,TRUE
31,fact_StaffingRequirementLive,BusinessDate,dim_Date,Date,ManyToOne,Single,TRUE,TRUE
32,fact_StaffingRequirementClosed,IntervalKey,dim_Interval,IntervalKey,ManyToOne,Single,TRUE,TRUE
33,fact_StaffingRequirementLive,IntervalKey,dim_Interval,IntervalKey,ManyToOne,Single,TRUE,TRUE
34,fact_StaffingRequirementClosed,ActivityKey,dim_Activity,ActivityKey,ManyToOne,Single,TRUE,TRUE
35,fact_StaffingRequirementLive,ActivityKey,dim_Activity,ActivityKey,ManyToOne,Single,TRUE,TRUE
40,fact_Forecast,BusinessDate,dim_Date,Date,ManyToOne,Single,TRUE,TRUE
41,fact_Forecast,IntervalKey,dim_Interval,IntervalKey,ManyToOne,Single,TRUE,TRUE
42,fact_Forecast,ActivityKey,dim_Activity,ActivityKey,ManyToOne,Single,TRUE,TRUE
43,fact_Forecast,ChannelKey,dim_Channel,ChannelKey,ManyToOne,Single,TRUE,TRUE
44,fact_ForecastAccuracy,BusinessDate,dim_Date,Date,ManyToOne,Single,TRUE,TRUE
45,fact_ForecastAccuracy,IntervalKey,dim_Interval,IntervalKey,ManyToOne,Single,TRUE,TRUE
46,fact_ForecastAccuracy,ActivityKey,dim_Activity,ActivityKey,ManyToOne,Single,TRUE,TRUE
47,fact_ForecastAccuracy,ChannelKey,dim_Channel,ChannelKey,ManyToOne,Single,TRUE,TRUE
50,fact_SupplyPlan,PeriodStart,dim_Date,Date,ManyToOne,Single,TRUE,TRUE
51,fact_SupplyPlan,ActivityKey,dim_Activity,ActivityKey,ManyToOne,Single,TRUE,TRUE
52,fact_HiringPlan,ProficiencyDate,dim_Date,Date,ManyToOne,Single,TRUE,TRUE
53,fact_HiringPlan,ActivityKey,dim_Activity,ActivityKey,ManyToOne,Single,TRUE,TRUE
